Name,ISO_Code,Total_Cases
Latvia,LVA,7383467.0
Lebanon,LBN,37165793.0
Lesotho,LSO,974819.0
Liberia,LBR,434419.0
Libya,LBY,17691266.0
Liechtenstein,LIE,306646.0
Lithuania,LTU,19857944.0
Luxembourg,LUX,7679527.0
Macao,MAC,
Madagascar,MDG,4295125.0
Malawi,MWI,2925799.0
Malaysia,MYS,25607118.0
Maldives,MDV,3199997.0
Mali,MLI,1404536.0
Malta,MLT,2520508.0
Marshall Islands,MHL,532.0
Mauritania,MRT,2854683.0
Mauritius,MUS,154842.0
Mexico,MEX,302650903.0
Micronesia (country),FSM,61.0
Moldova,MDA,26235971.0
Monaco,MCO,200394.0
Mongolia,MNG,292339.0
Montenegro,MNE,8474083.0
Montserrat,MSR,
Morocco,MAR,70045072.0
Mozambique,MOZ,5265743.0
Myanmar,MMR,18008283.0
Namibia,NAM,4646958.0
Nepal,NPL,43198729.0
Netherlands,NLD,134542801.0
New Zealand,NZL,659755.0
Nicaragua,NIC,1460378.0
Niger,NER,694154.0
Nigeria,NGA,22218331.0
North America,OWID_NAM,4494112038.0
North Macedonia,MKD,13724386.0
Northern Cyprus,OWID_CYN,
Norway,NOR,9827851.0
Oceania,OWID_OCE,8287313.0
Oman,OMN,30194684.0
Pakistan,PAK,111849431.0
Palestine,PSE,22674510.0
Panama,PAN,48719696.0
Papua New Guinea,PNG,182041.0
Paraguay,PRY,19903523.0
Peru,PER,242685282.0
Philippines,PHL,97937108.0
Poland,POL,199694581.0
Portugal,PRT,85281366.0
Qatar,QAT,39214138.0
Romania,ROU,103201382.0
Russia,RUS,610187679.0
Rwanda,RWA,2109922.0
Saint Helena,SHN,
Saint Kitts and Nevis,KNA,8072.0
Saint Lucia,LCA,194717.0
Saint Vincent and the Grenadines,VCT,103601.0
Samoa,WSM,277.0
San Marino,SMR,514376.0
Sao Tome and Principe,STP,315509.0
Saudi Arabia,SAU,94979925.0
Senegal,SEN,5174699.0
Serbia,SRB,50400642.0
Seychelles,SYC,176450.0
Sierra Leone,SLE,733288.0
Singapore,SGP,17325628.0
Slovakia,SVK,30163394.0
Slovenia,SVN,19552637.0
Solomon Islands,SLB,2490.0
Somalia,SOM,1310696.0
South Africa,ZAF,238325963.0
South America,OWID_SAM,2848516586.0
South Korea,KOR,12688184.0
South Sudan,SSD,1036940.0
Spain,ESP,413234254.0
Sri Lanka,LKA,7793027.0
Sudan,SDN,5361435.0
Suriname,SUR,1430511.0
Sweden,SWE,78600451.0
Switzerland,CHE,71978591.0
Syria,SYR,2017360.0
Taiwan,TWN,219478.0
Tajikistan,TJK,3083298.0
Tanzania,TZA,170469.0
Thailand,THA,2623995.0
Timor,TLS,15384.0
Togo,TGO,855452.0
Trinidad and Tobago,TTO,1309150.0
Tunisia,TUN,24623902.0
Turkey,TUR,319482027.0
Turks and Caicos Islands,TCA,
Uganda,UGA,5162054.0
Ukraine,UKR,173440767.0
United Arab Emirates,ARE,49101848.0
United Kingdom,GBR,482696372.0
United States,USA,3877666022.0
Uruguay,URY,4631721.0
Uzbekistan,UZB,16093631.0
Vanuatu,VUT,163.0
Vatican,VAT,6616.0
Venezuela,VEN,22932077.0
Vietnam,VNM,384921.0
World,OWID_WRL,16223534488.0
Yemen,YEM,569242.0
Zambia,ZMB,7308239.0
Zimbabwe,ZWE,3908763.0
